Id,SalePrice
1461,135512.84
1462,164408.14
1463,199629.33
1464,188393.5
1465,193451.17
1466,170985.03
1467,179596.05
1468,166765.95
1469,183604.61
1470,131638.19
1471,202069.48
1472,91177.96
1473,103316.29
1474,154629.48
1475,146723.45
1476,430320.4
1477,250436.03
1478,316217.28
1479,226886.52
1480,490670.88
1481,318486.44
1482,206604.44
1483,173249.44
1484,173261.08
1485,174122.25
1486,195112.17
1487,400537.94
1488,231866.3
1489,211975.19
1490,203868.22
1491,190787.6
1492,75407.88
1493,200624.89
1494,279166.72
1495,296094.22
1496,238168.73
1497,183041.69
1498,161948.83
1499,160116.8
1500,143456.2
1501,186888.34
1502,162657.11
1503,335867.56
1504,254283.4
1505,212451.94
1506,194687.8
1507,232328.08
1508,201853.94
1509,168676.86
1510,144191.81
1511,140603.7
1512,166630.72
1513,152413.83
1514,153663.78
1515,198357.39
1516,150962.08
1517,161657.61
1518,128427.69
1519,226863.9
1520,137030.73
1521,139528.61
1522,166043.58
1523,115451.73
1524,123538.53
1525,131133.92
1526,119449.66
1527,105497.164
1528,133818.42
1529,145340.06
1530,167719.38
1531,120459.74
1532,104227.35
1533,145776.0
1534,110880.98
1535,150014.81
1536,112056.12
1537,60856.535
1538,171184.61
1539,157731.34
1540,81374.58
1541,147362.95
1542,154132.69
1543,239872.53
1544,75123.66
1545,109348.8
1546,119628.4
1547,131632.23
1548,144897.39
1549,112862.22
1550,159402.9
1551,104419.164
1552,164027.23
1553,159459.8
1554,112246.15
1555,177105.58
1556,89171.07
1557,93830.91
1558,90539.72
1559,84395.48
1560,135356.81
1561,140168.14
1562,123828.14
1563,120811.67
1564,156971.75
1565,150608.58
1566,199711.69
1567,66632.38
1568,219883.38
1569,148116.14
1570,123525.125
1571,132588.72
1572,147606.83
1573,244101.19
1574,102356.016
1575,196347.44
1576,232125.11
1577,200300.58
1578,163540.95
1579,142146.23
1580,189429.52
1581,156126.25
1582,127228.24
1583,330946.7
1584,228274.69
1585,138104.17
1586,68799.47
1587,97040.93
1588,153007.47
1589,101818.65
1590,129039.0
1591,98320.73
1592,135583.6
1593,129707.69
1594,147239.97
1595,115080.086
1596,249671.7
1597,155754.73
1598,212746.88
1599,227803.77
1600,188535.02
1601,68710.2
1602,110964.125
1603,93651.36
1604,271405.53
1605,243985.45
1606,182641.53
1607,159601.22
1608,210792.98
1609,194961.77
1610,162229.8
1611,144850.38
1612,147774.78
1613,165463.64
1614,114434.734
1615,79918.08
1616,66969.805
1617,88134.96
1618,131420.06
1619,134092.47
1620,158322.44
1621,133148.77
1622,148075.0
1623,289650.38
1624,225729.05
1625,133274.03
1626,174819.8
1627,195994.03
1628,285921.97
1629,183285.98
1630,333506.72
1631,226212.66
1632,237849.64
1633,180162.44
1634,190647.47
1635,174169.02
1636,159864.56
1637,175110.86
1638,216461.3
1639,175151.62
1640,248989.38
1641,180252.23
1642,215065.27
1643,237404.8
1644,243759.83
1645,193021.12
1646,164494.61
1647,155938.7
1648,128658.95
1649,141857.92
1650,114223.19
1651,121755.72
1652,88618.27
1653,99429.05
1654,153419.02
1655,150358.73
1656,150806.11
1657,156812.98
1658,141302.62
